id,brand_term,brand_name
82,acura,Acura
83,alfa,Alfa Romeo
84,aston,Aston Martin
85,audi,Audi
86,bentley,Bentley
87,bmw,BMW
88,bugatti,Bugatti
89,buick,Buick
90,cadillac,Cadillac
95,cdjr,CDJR
97,cjd,CDJR
91,chev,Chevrolet
92,chevrolet,Chevrolet
93,chevy,Chevrolet
94,daewoo,Chevrolet
96,chrysler,Chrysler
98,plymouth,Chrysler
99,dodge,Dodge
100,ferrari,Ferrari
101,fiat,Fiat
102,ford,Ford
103,mercury,Lincoln
121,lincoln,Lincoln
104,corvette,GMC
105,gmc,GMC
106,oldsmobile,GMC
107,pontiac,GMC
108,saturn,GMC
109,autogroup,Group
110,group,Group
111,honda,Honda
112,hummer,Hummer
113,hyundai,Hyundai
114,infiniti,Infiniti
115,isuzu,Isuzu
116,jaguar,Jaguar
117,jeep,Jeep
118,kia,Kia
119,lamborghini,Lamborghini
120,lexus,Lexus
122,lotus,Lotus
123,maserati,Maserati
124,mazda,Mazda
125,mclaren,Mclaren
126,benz,Mercedes-Benz
127,mercedes,Mercedes-Benz
128,mini,MINI
129,mitsubishi,Mitsubishi
130,nissan,Nissan
131,porsche,Porsche
132,ram,Ram
133,range,Land Rover
134,rover,Land Rover
135,rolls,Rolls-Royce
136,royce,Rolls-Royce
137,saab,Saab
138,scion,Scion
139,smart,Smart
140,subaru,Subaru
141,suzuki,Suzuki
142,toyota,Toyota
143,volkswagen,Volkswagen
144,vw,Volkswagen
145,volvo,Volvo
